
Run on 2025-05-27 09:06:12:
Diameter_of_vortex.txt not found.
r1_dt_40_C001H001S0001000169.jpg: 1.42 cm
r1_dt_40_C001H001S0001000170.jpg: 1.42 cm
r1_dt_40_C001H001S0001000171.jpg: 1.43 cm
r1_dt_40_C001H001S0001000172.jpg: 1.43 cm
r1_dt_40_C001H001S0001000173.jpg: 1.43 cm
r1_dt_40_C001H001S0001000174.jpg: 1.45 cm
r1_dt_40_C001H001S0001000175.jpg: 1.47 cm
r1_dt_40_C001H001S0001000176.jpg: 1.47 cm
r1_dt_40_C001H001S0001000177.jpg: 1.47 cm
r1_dt_40_C001H001S0001000178.jpg: 1.45 cm
r1_dt_40_C001H001S0001000179.jpg: 1.44 cm
r1_dt_40_C001H001S0001000180.jpg: 1.44 cm
r1_dt_40_C001H001S0001000181.jpg: 1.43 cm
r1_dt_40_C001H001S0001000182.jpg: 1.44 cm
r1_dt_40_C001H001S0001000183.jpg: 1.42 cm
r1_dt_40_C001H001S0001000184.jpg: 1.41 cm
r1_dt_40_C001H001S0001000185.jpg: 1.42 cm
r1_dt_40_C001H001S0001000186.jpg: 1.42 cm
r1_dt_40_C001H001S0001000187.jpg: 1.42 cm
r1_dt_40_C001H001S0001000188.jpg: 1.41 cm
r1_dt_40_C001H001S0001000189.jpg: 1.41 cm
r1_dt_40_C001H001S0001000190.jpg: 1.42 cm
r1_dt_40_C001H001S0001000191.jpg: 1.44 cm
r1_dt_40_C001H001S0001000192.jpg: 1.45 cm
r1_dt_40_C001H001S0001000193.jpg: 1.44 cm
r1_dt_40_C001H001S0001000194.jpg: 1.43 cm
r1_dt_40_C001H001S0001000195.jpg: 1.42 cm
r1_dt_40_C001H001S0001000196.jpg: 1.41 cm
r1_dt_40_C001H001S0001000197.jpg: 1.41 cm
r1_dt_40_C001H001S0001000198.jpg: 1.41 cm
r1_dt_40_C001H001S0001000199.jpg: 1.41 cm
r1_dt_40_C001H001S0001000200.jpg: 1.41 cm
r1_dt_40_C001H001S0001000201.jpg: 1.42 cm
r1_dt_40_C001H001S0001000202.jpg: 1.41 cm
r1_dt_40_C001H001S0001000203.jpg: 1.42 cm
r1_dt_40_C001H001S0001000204.jpg: 1.40 cm
r1_dt_40_C001H001S0001000205.jpg: 1.43 cm
r1_dt_40_C001H001S0001000206.jpg: 1.44 cm
r1_dt_40_C001H001S0001000207.jpg: 1.47 cm
r1_dt_40_C001H001S0001000208.jpg: 1.48 cm
r1_dt_40_C001H001S0001000209.jpg: 1.46 cm
r1_dt_40_C001H001S0001000210.jpg: 1.42 cm
r1_dt_40_C001H001S0001000211.jpg: 1.40 cm
r1_dt_40_C001H001S0001000212.jpg: 1.40 cm
r1_dt_40_C001H001S0001000213.jpg: 1.39 cm
r1_dt_40_C001H001S0001000214.jpg: 1.40 cm
r1_dt_40_C001H001S0001000215.jpg: 1.38 cm
r1_dt_40_C001H001S0001000216.jpg: 1.38 cm
r1_dt_40_C001H001S0001000217.jpg: 1.39 cm
r1_dt_40_C001H001S0001000218.jpg: 1.40 cm
r1_dt_40_C001H001S0001000219.jpg: 1.40 cm
r1_dt_40_C001H001S0001000220.jpg: 1.40 cm
r1_dt_40_C001H001S0001000221.jpg: 1.40 cm
r1_dt_40_C001H001S0001000222.jpg: 1.41 cm
r1_dt_40_C001H001S0001000223.jpg: 1.44 cm
r1_dt_40_C001H001S0001000224.jpg: 1.45 cm
r1_dt_40_C001H001S0001000225.jpg: 1.44 cm
r1_dt_40_C001H001S0001000226.jpg: 1.44 cm
r1_dt_40_C001H001S0001000227.jpg: 1.42 cm
r1_dt_40_C001H001S0001000228.jpg: 1.43 cm
r1_dt_40_C001H001S0001000229.jpg: 1.44 cm
r1_dt_40_C001H001S0001000230.jpg: 1.43 cm
r1_dt_40_C001H001S0001000231.jpg: 1.44 cm
r1_dt_40_C001H001S0001000232.jpg: 1.44 cm
r1_dt_40_C001H001S0001000233.jpg: 1.44 cm
r1_dt_40_C001H001S0001000234.jpg: 1.44 cm
r1_dt_40_C001H001S0001000235.jpg: 1.44 cm
r1_dt_40_C001H001S0001000236.jpg: 1.43 cm
r1_dt_40_C001H001S0001000237.jpg: 1.44 cm
r1_dt_40_C001H001S0001000238.jpg: 1.45 cm
r1_dt_40_C001H001S0001000239.jpg: 1.48 cm
r1_dt_40_C001H001S0001000240.jpg: 1.48 cm
r1_dt_40_C001H001S0001000241.jpg: 1.48 cm
r1_dt_40_C001H001S0001000242.jpg: 1.44 cm
r1_dt_40_C001H001S0001000243.jpg: 1.43 cm
r1_dt_40_C001H001S0001000244.jpg: 1.42 cm
r1_dt_40_C001H001S0001000245.jpg: 1.43 cm
r1_dt_40_C001H001S0001000246.jpg: 1.42 cm
r1_dt_40_C001H001S0001000247.jpg: 1.42 cm
r1_dt_40_C001H001S0001000248.jpg: 1.42 cm
r1_dt_40_C001H001S0001000249.jpg: 1.42 cm
r1_dt_40_C001H001S0001000250.jpg: 1.41 cm
r1_dt_40_C001H001S0001000251.jpg: 1.41 cm
r1_dt_40_C001H001S0001000252.jpg: 1.41 cm
r1_dt_40_C001H001S0001000253.jpg: 1.41 cm
r1_dt_40_C001H001S0001000254.jpg: 1.43 cm
r1_dt_40_C001H001S0001000255.jpg: 1.43 cm
r1_dt_40_C001H001S0001000256.jpg: 1.43 cm
r1_dt_40_C001H001S0001000257.jpg: 1.43 cm
r1_dt_40_C001H001S0001000258.jpg: 1.41 cm
r1_dt_40_C001H001S0001000259.jpg: 1.40 cm
r1_dt_40_C001H001S0001000260.jpg: 1.40 cm
r1_dt_40_C001H001S0001000261.jpg: 1.39 cm
r1_dt_40_C001H001S0001000262.jpg: 1.39 cm
r1_dt_40_C001H001S0001000263.jpg: 1.40 cm
r1_dt_40_C001H001S0001000264.jpg: 1.40 cm
r1_dt_40_C001H001S0001000265.jpg: 1.40 cm
r1_dt_40_C001H001S0001000266.jpg: 1.41 cm
r1_dt_40_C001H001S0001000267.jpg: 1.41 cm
r1_dt_40_C001H001S0001000268.jpg: 1.42 cm
r1_dt_40_C001H001S0001000269.jpg: 1.41 cm
r1_dt_40_C001H001S0001000270.jpg: 1.42 cm
r1_dt_40_C001H001S0001000271.jpg: 1.44 cm
r1_dt_40_C001H001S0001000272.jpg: 1.44 cm
r1_dt_40_C001H001S0001000273.jpg: 1.44 cm
r1_dt_40_C001H001S0001000274.jpg: 1.43 cm
r1_dt_40_C001H001S0001000275.jpg: 1.42 cm
r1_dt_40_C001H001S0001000276.jpg: 1.42 cm
r1_dt_40_C001H001S0001000277.jpg: 1.43 cm
r1_dt_40_C001H001S0001000278.jpg: 1.43 cm
r1_dt_40_C001H001S0001000279.jpg: 1.44 cm
r1_dt_40_C001H001S0001000280.jpg: 1.44 cm
r1_dt_40_C001H001S0001000281.jpg: 1.44 cm
r1_dt_40_C001H001S0001000282.jpg: 1.44 cm
r1_dt_40_C001H001S0001000283.jpg: 1.44 cm
r1_dt_40_C001H001S0001000284.jpg: 1.44 cm
r1_dt_40_C001H001S0001000285.jpg: 1.44 cm
r1_dt_40_C001H001S0001000286.jpg: 1.44 cm
r1_dt_40_C001H001S0001000287.jpg: 1.45 cm
r1_dt_40_C001H001S0001000288.jpg: 1.45 cm
r1_dt_40_C001H001S0001000289.jpg: 1.44 cm
r1_dt_40_C001H001S0001000290.jpg: 1.44 cm
r1_dt_40_C001H001S0001000291.jpg: 1.43 cm
r1_dt_40_C001H001S0001000292.jpg: 1.42 cm
r1_dt_40_C001H001S0001000293.jpg: 1.42 cm
r1_dt_40_C001H001S0001000294.jpg: 1.41 cm
r1_dt_40_C001H001S0001000295.jpg: 1.42 cm
r1_dt_40_C001H001S0001000296.jpg: 1.41 cm
r1_dt_40_C001H001S0001000297.jpg: 1.41 cm
r1_dt_40_C001H001S0001000298.jpg: 1.42 cm
r1_dt_40_C001H001S0001000299.jpg: 1.41 cm
r1_dt_40_C001H001S0001000300.jpg: 1.41 cm
r1_dt_40_C001H001S0001000301.jpg: 1.41 cm
r1_dt_40_C001H001S0001000302.jpg: 1.43 cm
r1_dt_40_C001H001S0001000303.jpg: 1.45 cm
r1_dt_40_C001H001S0001000304.jpg: 1.46 cm
r1_dt_40_C001H001S0001000305.jpg: 1.45 cm
r1_dt_40_C001H001S0001000306.jpg: 1.44 cm
r1_dt_40_C001H001S0001000307.jpg: 1.42 cm
r1_dt_40_C001H001S0001000308.jpg: 1.42 cm
r1_dt_40_C001H001S0001000309.jpg: 1.42 cm
r1_dt_40_C001H001S0001000310.jpg: 1.42 cm
r1_dt_40_C001H001S0001000311.jpg: 1.42 cm
r1_dt_40_C001H001S0001000312.jpg: 1.43 cm
r1_dt_40_C001H001S0001000313.jpg: 1.42 cm
r1_dt_40_C001H001S0001000314.jpg: 1.42 cm
r1_dt_40_C001H001S0001000315.jpg: 1.42 cm
r1_dt_40_C001H001S0001000316.jpg: 1.42 cm
r1_dt_40_C001H001S0001000317.jpg: 1.42 cm
r1_dt_40_C001H001S0001000318.jpg: 1.42 cm
r1_dt_40_C001H001S0001000319.jpg: 1.45 cm
r1_dt_40_C001H001S0001000320.jpg: 1.45 cm
r1_dt_40_C001H001S0001000321.jpg: 1.46 cm
r1_dt_40_C001H001S0001000322.jpg: 1.43 cm
r1_dt_40_C001H001S0001000323.jpg: 1.42 cm
r1_dt_40_C001H001S0001000324.jpg: 1.41 cm
r1_dt_40_C001H001S0001000325.jpg: 1.43 cm
r1_dt_40_C001H001S0001000326.jpg: 1.43 cm
r1_dt_40_C001H001S0001000327.jpg: 1.42 cm
r1_dt_40_C001H001S0001000328.jpg: 1.42 cm
r1_dt_40_C001H001S0001000329.jpg: 1.42 cm
r1_dt_40_C001H001S0001000330.jpg: 1.42 cm
r1_dt_40_C001H001S0001000331.jpg: 1.43 cm
r1_dt_40_C001H001S0001000332.jpg: 1.42 cm
r1_dt_40_C001H001S0001000333.jpg: 1.42 cm
r1_dt_40_C001H001S0001000334.jpg: 1.43 cm
r1_dt_40_C001H001S0001000335.jpg: 1.44 cm
r1_dt_40_C001H001S0001000336.jpg: 1.45 cm
r1_dt_40_C001H001S0001000337.jpg: 1.44 cm
r1_dt_40_C001H001S0001000338.jpg: 1.44 cm
r1_dt_40_C001H001S0001000339.jpg: 1.43 cm
r1_dt_40_C001H001S0001000340.jpg: 1.42 cm
r1_dt_40_C001H001S0001000341.jpg: 1.42 cm
r1_dt_40_C001H001S0001000342.jpg: 1.42 cm
r1_dt_40_C001H001S0001000343.jpg: 1.43 cm
r1_dt_40_C001H001S0001000344.jpg: 1.43 cm
r1_dt_40_C001H001S0001000345.jpg: 1.42 cm
r1_dt_40_C001H001S0001000346.jpg: 1.42 cm
r1_dt_40_C001H001S0001000347.jpg: 1.42 cm
r1_dt_40_C001H001S0001000348.jpg: 1.42 cm
r1_dt_40_C001H001S0001000349.jpg: 1.41 cm
r1_dt_40_C001H001S0001000350.jpg: 1.43 cm
r1_dt_40_C001H001S0001000351.jpg: 1.47 cm
r1_dt_40_C001H001S0001000352.jpg: 1.48 cm
r1_dt_40_C001H001S0001000353.jpg: 1.46 cm
r1_dt_40_C001H001S0001000354.jpg: 1.45 cm
